Filename,MatchesAssemblyInfo,Unique
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\bd2Randomiser.cs,FALSE,Test58
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\BotEnterWorldContext.cs,FALSE,Test59
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\botManagementReference.cs,FALSE,Test60
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\DefaultRandomiser.cs,FALSE,Test61
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\EndGameRequestContext.cs,FALSE,Test62
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\LastTickResults.cs,FALSE,Test63
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\SpeedRating.cs,FALSE,Test64
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Engine\TemporaryKeyData.cs,FALSE,Test65
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\ActionSubMessageKind.cs,FALSE,Test66
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts,FALSE,Test67
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\GameMessageSubKind.cs,FALSE,Test68
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\MessageBase.cs,FALSE,Test69
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\MessageType.cs,FALSE,Test70
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Message_Action.cs,FALSE,Test71
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Message_Game.cs,FALSE,Test72
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Message_GameCombat.cs,FALSE,Test73
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Message_Query.cs,FALSE,Test74
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Message_Ui.cs,FALSE,Test75
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\QueryMessageSubKind.cs,FALSE,Test76
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\UICombatContext.cs,FALSE,Test77
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\UIMessageSubKind.cs,FALSE,Test78
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\BattleContextBase.cs,FALSE,Test79
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\BotDeathContext.cs,FALSE,Test80
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\BotDeathReason.cs,FALSE,Test81
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\EquipmentInstallationContext.cs,FALSE,Test82
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\EquipmentUseRequestContext.cs,FALSE,Test83
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\GameStructureNotificationContext.cs,FALSE,Test84
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\MapObjectPositionChangeContext.cs,FALSE,Test85
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\NavigationInfoContext.cs,FALSE,Test86
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Messaging\Contexts\SystemMessageContext.cs,FALSE,Test87
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\bd2BaseModel.cs,FALSE,Test88
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\BotStatusRequestContext.cs,FALSE,Test89
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Combat,FALSE,Test90
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Equipment,FALSE,Test91
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map,FALSE,Test92
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Combat\CombatAttack.cs,FALSE,Test93
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Combat\CombatManager.cs,FALSE,Test94
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Combat\CombatResult.cs,FALSE,Test95
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Equipment\EquipmentSupport.cs,FALSE,Test96
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Equipment\OffensiveWeaponEquipmentItem.cs,FALSE,Test97
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\Equipment\PowerPackEquipmentItem.cs,FALSE,Test98
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\bd2Map.cs,FALSE,Test99
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\bd2World.cs,FALSE,Test100
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MapConditionType.cs,FALSE,Test101
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MappedBot.cs,FALSE,Test102
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MappedObject.cs,FALSE,Test103
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MappedObjectPotentialMove.cs,FALSE,Test104
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MapTile.cs,FALSE,Test105
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Model\World_Map\MoveResult.cs,FALSE,Test106
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Properties\AssemblyInfo.cs,TRUE,Test107
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository\bd2MapRepository.cs,FALSE,Test108
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository\DiskXmlHistoricalRepository.cs,FALSE,Test109
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository\EquipmentRepository.cs,FALSE,Test110
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository\HardcodedEquipmentRepository.cs,FALSE,Test111
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2Core\Repository\HistoricalBattleRepository.cs,FALSE,Test112
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\bd2CoreTypes.csproj,FALSE,Test113
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\bd2TickAction.cs,FALSE,Test114
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\bd2Trace.cs,FALSE,Test115
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BdBaseException.cs,FALSE,Test116
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BdConsts.cs,FALSE,Test117
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BoonBotBase.cs,FALSE,Test118
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotLoadout.cs,FALSE,Test119
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport,FALSE,Test120
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\DamageType.cs,FALSE,Test121
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentDescription.cs,FALSE,Test122
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport,FALSE,Test123
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\GlobalSuppressions.cs,FALSE,Test124
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\Helper,FALSE,Test125
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\IProvideEquipmentDetail.cs,FALSE,Test126
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\Properties,FALSE,Test127
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport\IKnowWhatBotsDo.cs,FALSE,Test128
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport\IProvideBotInteractivity.cs,FALSE,Test129
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport\LastTickEventType.cs,FALSE,Test130
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport\LastTickRecord.cs,FALSE,Test131
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\BotSupport\MountPoint.cs,FALSE,Test132
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\ActiveEquipment.cs,FALSE,Test133
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\EquipmentInstallationResult.cs,FALSE,Test134
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\EquipmentItem.cs,FALSE,Test135
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\EquipmentUseDetails.cs,FALSE,Test136
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\EquipmentUseResult.cs,FALSE,Test137
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\InstallationResult.cs,FALSE,Test138
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\ItemClassification.cs,FALSE,Test139
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\KnownEquipmentIds.cs,FALSE,Test140
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\ScannerEquipmentItem.cs,FALSE,Test141
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\ScanResultPOI.cs,FALSE,Test142
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\ScanTileResult.cs,FALSE,Test143
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\EquipmentSupport\UsageEndState.cs,FALSE,Test144
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\Helper\CombatHelper.cs,FALSE,Test145
D:\Files\Git2015\Boondoggle\BoondoggleMain\bd2CoreTypes\Properties\AssemblyInfo.cs,TRUE,Test146
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\App_Data,FALSE,Test147
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\App_Start,FALSE,Test148
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Boondoggling.csproj,FALSE,Test149
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content,FALSE,Test150
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Controllers,FALSE,Test151
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\favicon.ico,FALSE,Test152
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\fonts,FALSE,Test153
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Global.asax,FALSE,Test154
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Global.asax.cs,FALSE,Test155
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models,FALSE,Test156
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\packages.config,FALSE,Test157
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Project_Readme.html,FALSE,Test158
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Properties,FALSE,Test159
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts,FALSE,Test160
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Startup.cs,FALSE,Test161
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test,FALSE,Test162
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views,FALSE,Test163
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Web.config,FALSE,Test164
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Web.Debug.config,FALSE,Test165
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Web.Release.config,FALSE,Test166
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\App_Start\BundleConfig.cs,FALSE,Test167
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\App_Start\FilterConfig.cs,FALSE,Test168
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\App_Start\RouteConfig.cs,FALSE,Test169
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets,FALSE,Test170
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\bootstrap.css,FALSE,Test171
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\bootstrap.min.css,FALSE,Test172
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\Images,FALSE,Test173
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\Site.css,FALSE,Test174
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\bd2tset1.png,FALSE,Test175
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\bullets.png,FALSE,Test176
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\davidtnk.png,FALSE,Test177
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\greentank1.png,FALSE,Test178
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\newdefaultMap.json,FALSE,Test179
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\orangetank1.png,FALSE,Test180
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\redtank1.png,FALSE,Test181
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\spriteset1.png,FALSE,Test182
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\starterMap4plr.json,FALSE,Test183
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\testmap4plr.json,FALSE,Test184
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\assets\yellowtank1.png,FALSE,Test185
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Content\Images\bdtitle.png,FALSE,Test186
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Controllers\HomeController.cs,FALSE,Test187
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\fonts\glyphicons-halflings-regular.eot,FALSE,Test188
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\fonts\glyphicons-halflings-regular.svg,FALSE,Test189
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\fonts\glyphicons-halflings-regular.ttf,FALSE,Test190
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\fonts\glyphicons-halflings-regular.woff,FALSE,Test191
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\EventRepository.cs,FALSE,Test192
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\EventSupport.cs,FALSE,Test193
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\KnownEventKind.cs,FALSE,Test194
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\Mappers.cs,FALSE,Test195
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\UISupportModel.cs,FALSE,Test196
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\ViewModel,FALSE,Test197
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\XmlEventRepository.cs,FALSE,Test198
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\ViewModel\BattleEventVM.cs,FALSE,Test199
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\ViewModel\BattleSummaryVM.cs,FALSE,Test200
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\ViewModel\BotInitialisationVM.cs,FALSE,Test201
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Models\ViewModel\ViewerVM.cs,FALSE,Test202
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Properties\AssemblyInfo.cs,TRUE,Test203
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Properties\PublishProfiles,FALSE,Test204
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Properties\PublishProfiles\Jims Preview.pubxml,FALSE,Test205
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\bootstrap.js,FALSE,Test206
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\bootstrap.min.js,FALSE,Test207
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery-1.10.2.intellisense.js,FALSE,Test208
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery-1.10.2.js,FALSE,Test209
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery-1.10.2.min.js,FALSE,Test210
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery-1.10.2.min.map,FALSE,Test211
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery.validate-vsdoc.js,FALSE,Test212
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery.validate.js,FALSE,Test213
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery.validate.min.js,FALSE,Test214
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery.validate.unobtrusive.js,FALSE,Test215
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\jquery.validate.unobtrusive.min.js,FALSE,Test216
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\modernizr-2.6.2.js,FALSE,Test217
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\respond.js,FALSE,Test218
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\respond.min.js,FALSE,Test219
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Scripts\_references.js,FALSE,Test220
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\Events,FALSE,Test221
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\phaser.d.ts,FALSE,Test222
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\phaser.js,FALSE,Test223
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\phaser.map,FALSE,Test224
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\phaser.min.js,FALSE,Test225
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\testing.js,FALSE,Test226
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\testing.js.map,FALSE,Test227
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\testing.ts,FALSE,Test228
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\TestPage.html,FALSE,Test229
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\Events\evt_1.json,FALSE,Test230
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\test\Events\evt_2.json,FALSE,Test231
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Home,FALSE,Test232
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Shared,FALSE,Test233
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Web.config,FALSE,Test234
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\_ViewStart.cshtml,FALSE,Test235
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Home\About.cshtml,FALSE,Test236
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Home\Index.cshtml,FALSE,Test237
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Home\Viewer.cshtml,FALSE,Test238
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Shared\Error.cshtml,FALSE,Test239
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Shared\Lockout.cshtml,FALSE,Test240
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Shared\_Layout.cshtml,FALSE,Test241
D:\Files\Git2015\Boondoggle\BoondoggleMain\Boondoggling\Views\Shared\_LoginPartial.cshtml,FALSE,Test242
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages\Antlr.3.4.1.9004,FALSE,Test243
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages\bootstrap.3.0.0,FALSE,Test244
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages\EntityFramework.6.1.1,FALSE,Test245
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages\jQuery.1.10.2,FALSE,Test246
D:\Files\Git2015\Boondoggle\BoondoggleMain\packages\jQuery.Validation.1.11.1,FALSE,Test247
